Date,Open,High,Low,Close,Volume,Open Interest
2017-06-06,1.03105,1.03105,1.03105,1.03105,0,0
2017-06-07,1.02945,1.02945,1.02945,1.02945,0,0
2017-06-08,1.02905,1.02905,1.02905,1.02905,0,0
2017-06-09,1.02785,1.02785,1.02785,1.02785,0,0
2017-06-12,1.0301,1.0301,1.0301,1.0301,0,0
2017-06-13,1.02675,1.02675,1.02675,1.02675,0,0
2017-06-14,1.02575,1.02575,1.02575,1.02575,0,0
2017-06-15,1.01515,1.01515,1.01515,1.01515,0,0
2017-06-16,1.01475,1.01475,1.01475,1.01475,0,0
2017-06-19,1.01045,1.01045,1.01045,1.01045,0,0
2017-06-20,1.00995,1.00995,1.00995,1.00995,0,0
2017-06-21,1.00925,1.00925,1.00925,1.00925,0,0
2017-06-22,1.00805,1.00805,1.00805,1.00805,0,0
2017-06-23,1.00935,1.00935,1.00935,1.00935,0,0
2017-06-26,1.00425,1.00425,1.00425,1.00425,0,0
2017-06-27,1.006,1.006,1.006,1.006,0,0
2017-06-28,1.0038,1.0038,1.0038,1.0038,0,0
2017-06-29,1.0066,1.0066,1.0066,1.0066,0,0
2017-06-30,1.00225,1.00225,1.00225,1.00225,0,0
2017-07-03,0.99805,0.99805,0.99805,0.99805,0,0
2017-07-05,0.9975,0.9975,0.9975,0.9975,0,0
2017-07-06,0.9996,0.9996,0.9996,0.9996,0,0
2017-07-07,0.9929,0.9929,0.9929,0.9929,0,0
2017-07-10,0.99205,0.99205,0.99205,0.99205,0,0
2017-07-11,0.99425,0.99425,0.99425,0.99425,0,0
2017-07-12,0.99725,0.99725,0.99725,0.99725,0,0
2017-07-13,0.9979,0.9979,0.9979,0.9979,0,0
2017-07-14,1.00295,1.00295,1.00295,1.00295,0,0
2017-07-17,1.0019,1.0019,1.0019,1.0019,0,0
2017-07-18,1.00775,1.00775,1.00775,1.00775,0,0
2017-07-19,1.00865,1.00865,1.00865,1.00865,0,0
2017-07-20,1.0069,1.0069,1.0069,1.0069,0,0
2017-07-21,1.0145,1.0145,1.0145,1.0145,0,0
2017-07-24,1.01475,1.01475,1.01475,1.01475,0,0
2017-07-25,1.0097,1.0097,1.0097,1.0097,0,0
2017-07-26,1.01395,1.01395,1.01395,1.01395,0,0
2017-07-27,1.01525,1.01525,1.01525,1.01525,0,0
2017-07-28,1.0191,1.0191,1.0191,1.0191,0,0
2017-07-31,1.02255,1.02255,1.02255,1.02255,0,0
2017-08-01,1.01945,1.01945,1.01945,1.01945,0,0
2017-08-02,1.01765,1.01765,1.01765,1.01765,0,0
2017-08-03,1.0219,1.0219,1.0219,1.0219,0,0
2017-08-04,1.01645,1.01645,1.01645,1.01645,0,0
2017-08-07,1.0162,1.0162,1.0162,1.0162,0,0
2017-08-08,1.01935,1.01935,1.01935,1.01935,0,0
2017-08-09,1.024,1.024,1.024,1.024,0,0
2017-08-10,1.02805,1.02805,1.02805,1.02805,0,0
2017-08-11,1.02905,1.02905,1.02905,1.02905,0,0
2017-08-14,1.02585,1.02585,1.02585,1.02585,0,0
2017-08-15,1.01805,1.01805,1.01805,1.01805,0,0
2017-08-16,1.02185,1.02185,1.02185,1.02185,0,0
2017-08-17,1.02445,1.02445,1.02445,1.02445,0,0
2017-08-18,1.02925,1.02925,1.02925,1.02925,0,0
2017-08-21,1.03165,1.03165,1.03165,1.03165,0,0
2017-08-22,1.0257,1.0257,1.0257,1.0257,0,0
2017-08-23,1.02885,1.02885,1.02885,1.02885,0,0
2017-08-24,1.02535,1.02535,1.02535,1.02535,0,0
2017-08-25,1.0272,1.0272,1.0272,1.0272,0,0
2017-08-28,1.0276,1.0276,1.0276,1.0276,0,0
2017-08-29,1.0212,1.0212,1.0212,1.0212,0,0
2017-08-30,1.0155,1.0155,1.0155,1.0155,0,0
2017-08-31,1.01825,1.01825,1.01825,1.01825,0,0
2017-09-01,1.01615,1.01615,1.01615,1.01615,0,0
2017-09-05,1.0269,1.0269,1.0269,1.0269,0,0
2017-09-06,1.02255,1.02255,1.02255,1.02255,0,0
2017-09-07,1.02605,1.02605,1.02605,1.02605,0,0
2017-09-08,1.03335,1.03335,1.03335,1.03335,0,0
2017-09-11,1.02055,1.02055,1.02055,1.02055,0,0
2017-09-12,1.01445,1.01445,1.01445,1.01445,0,0
2017-09-13,1.0102,1.0102,1.0102,1.0102,0,0
2017-09-14,1.01275,1.01275,1.01275,1.01275,0,0
2017-09-15,1.01105,1.01105,1.01105,1.01105,0,0
2017-09-18,1.00695,1.00695,1.00695,1.00695,0,0
2017-09-19,1.00715,1.00715,1.00715,1.00715,0,0
2017-09-20,0.998,0.998,0.998,0.998,0,0
2017-09-21,0.9991,0.9991,0.9991,0.9991,0,0
2017-09-22,1.00325,1.00325,1.00325,1.00325,0,0
2017-09-25,1.00635,1.00635,1.00635,1.00635,0,0
2017-09-26,1.00135,1.00135,1.00135,1.00135,0,0
2017-09-27,0.9979,0.9979,0.9979,0.9979,0,0
2017-09-28,0.99955,0.99955,0.99955,0.99955,0,0
2017-09-29,0.9995,0.9995,0.9995,0.9995,0,0
2017-10-02,0.99955,0.99955,0.99955,0.99955,0,0
2017-10-03,0.99605,0.99605,0.99605,0.99605,0,0
2017-10-04,0.99775,0.99775,0.99775,0.99775,0,0
2017-10-05,0.99795,0.99795,0.99795,0.99795,0,0
2017-10-06,0.9999,0.9999,0.9999,0.9999,0,0
2017-10-09,1.0008,1.0008,1.0008,1.0008,0,0
2017-10-10,1.0021,1.0021,1.0021,1.0021,0,0
2017-10-11,1.0019,1.0019,1.0019,1.0019,0,0
2017-10-12,1.0027,1.0027,1.0027,1.0027,0,0
2017-10-13,1.00395,1.00395,1.00395,1.00395,0,0
2017-10-16,1.00255,1.00255,1.00255,1.00255,0,0
2017-10-17,1.00445,1.00445,1.00445,1.00445,0,0
